City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,thompson,55.7435,-97.8558,-20.54,93,88,1.77,CA,1675789610
30,oranjemund,-28.55,16.4333,18.91,91,32,8.82,NA,1675789609
31,hermanus,-34.4187,19.2345,21.56,74,100,6.0,ZA,1675789446
32,ushuaia,-54.8,-68.3,11.81,54,40,5.14,AR,1675789415
33,vaini,-21.2,-175.2,24.09,100,100,3.09,TO,1675789445
34,port alfred,-33.5906,26.891,22.32,89,89,1.79,ZA,1675789374
35,zhigansk,66.7697,123.3711,-46.57,100,94,1.13,RU,1675789718
36,hasaki,35.7333,140.8333,8.22,84,100,10.4,JP,1675789360
37,makiyivka,48.0478,37.9258,-5.26,68,100,7.46,UA,1675789824
38,saint george,37.1041,-113.5841,7.36,61,0,2.57,US,1675789321
39,baker city,44.7749,-117.8344,4.8,90,75,1.54,US,1675789722
40,carnarvon,-24.8667,113.6333,24.79,71,3,9.7,AU,1675789400
41,touros,-5.1989,-35.4608,30.31,52,60,7.6,BR,1675789529
42,wilson,36.1501,-86.2833,17.56,63,0,8.23,US,1675789659
43,busselton,-33.65,115.3333,16.5,92,0,5.19,AU,1675789427
44,cabo san lucas,22.8909,-109.9124,22.81,66,40,2.06,MX,1675789500
45,hamilton,39.1834,-84.5333,14.35,75,100,5.05,US,1675789204
46,punta arenas,-53.15,-70.9167,14.06,51,75,4.63,CL,1675789333
47,mama,58.3106,112.8986,-19.49,99,100,1.33,RU,1675789826
48,krasnoselkup,65.7,82.4667,-21.34,99,98,4.43,RU,1675789826
49,gamba,-2.65,10.0,26.64,74,55,2.35,GA,1675789826
50,weligama,5.9667,80.4167,24.59,89,19,1.01,LK,1675789827
51,dzaoudzi,-12.7887,45.2699,26.94,83,0,1.54,YT,1675789827
52,karratha,-20.7377,116.8463,30.54,59,22,3.91,AU,1675789613
53,derzhavinsk,51.1,66.3167,-20.18,100,85,1.63,KZ,1675789828
54,upernavik,72.7868,-56.1549,-25.84,94,99,3.09,GL,1675789437
55,port-gentil,-0.7193,8.7815,27.98,78,20,3.6,GA,1675789489
56,barrow,71.2906,-156.7887,-23.99,77,100,4.63,US,1675789487
57,bilma,18.6853,12.9164,24.4,14,43,2.21,NE,1675789829
58,aripuana,-9.1667,-60.6333,23.15,94,100,1.08,BR,1675789830
59,bredasdorp,-34.5322,20.0403,21.57,67,100,5.07,ZA,1675789385
60,omboue,-1.5746,9.2618,27.26,75,91,2.92,GA,1675789638
61,bataipora,-22.2953,-53.2711,31.41,49,86,2.0,BR,1675789789
